directory,file,name,description,triggers,pattern_category,animation_params,layout_params,slider_tab,slider_label,slider_type,target,css_property,min,max,step,default,unit
Gallery-and-Carousel,ExpandingHorizontalScroll.html,Expanding Horizontal Scroll,Scroll-driven story panels with image scale,"viewEnter; viewProgress; customEffect",scroll-storytelling,"title letter opacity/translateY stagger, panel left (60vw→0vw), image translateX/scale, text opacity swap, rangeStart/End per panel","scroll-section height, panel font-size/color, panel-image width/aspect-ratio, title font-size, paragraph max-width",animation,Animation Speed,speed,,,0.1,2,0.1,1,×
Gallery-and-Carousel,ExpandingHorizontalScroll.html,Expanding Horizontal Scroll,Scroll-driven story panels with image scale,"viewEnter; viewProgress; customEffect",scroll-storytelling,"title letter opacity/translateY stagger, panel left (60vw→0vw), image translateX/scale, text opacity swap, rangeStart/End per panel","scroll-section height, panel font-size/color, panel-image width/aspect-ratio, title font-size, paragraph max-width",animation,Zoom Level,expandZoom,,,1,8,0.5,4,×
Gallery-and-Carousel,ExpandingHorizontalScroll.html,Expanding Horizontal Scroll,Scroll-driven story panels with image scale,"viewEnter; viewProgress; customEffect",scroll-storytelling,"title letter opacity/translateY stagger, panel left (60vw→0vw), image translateX/scale, text opacity swap, rangeStart/End per panel","scroll-section height, panel font-size/color, panel-image width/aspect-ratio, title font-size, paragraph max-width",layout,Panel Image Width,expandPanelWidth,,,5,14,1,10,vw
Gallery-and-Carousel,FerrisWheel.html,Ferris Wheel,Continuous Ferris wheel rotation of image tiles,pageVisible,continuous-loop,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25s), iterations (∞), easing (linear)","tile-ring width/height, tile width/height/border-radius/box-shadow, title font-size",animation,Rotation Speed,speed,,,0.25,5,0.1,1,×
Gallery-and-Carousel,FerrisWheel.html,Ferris Wheel,Continuous Ferris wheel rotation of image tiles,pageVisible,continuous-loop,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25s), iterations (∞), easing (linear)","tile-ring width/height, tile width/height/border-radius/box-shadow, title font-size",animation,Rotation Direction,ferrisDir,,,-1,1,2,1,
Gallery-and-Carousel,FerrisWheel.html,Ferris Wheel,Continuous Ferris wheel rotation of image tiles,pageVisible,continuous-loop,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25s), iterations (∞), easing (linear)","tile-ring width/height, tile width/height/border-radius/box-shadow, title font-size",layout,Tile Border Radius,css,.tile,borderRadius,0,50,1,12,px
Gallery-and-Carousel,FerrisWheel.html,Ferris Wheel,Continuous Ferris wheel rotation of image tiles,pageVisible,continuous-loop,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25s), iterations (∞), easing (linear)","tile-ring width/height, tile width/height/border-radius/box-shadow, title font-size",layout,Ring Size,cssVar,--r,,10,35,1,20,
Gallery-and-Carousel,FerrisWheel.html,Ferris Wheel,Continuous Ferris wheel rotation of image tiles,pageVisible,continuous-loop,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25s), iterations (∞), easing (linear)","tile-ring width/height, tile width/height/border-radius/box-shadow, title font-size",layout,Tile Size,cssVar,--ts,,8,25,0.5,17,
Gallery-and-Carousel,HorizontalAndVerticalScroll.html,Horizontal & Vertical Scroll,Cards slide up then scroll horizontally then slide out,viewProgress,scroll-storytelling,"translateX (0vw→end responsive), translateY per card (100vh→0vh), rangeStart/End per card, easing (linear)","scroll-section height, card height/width (responsive), card border-radius/gap, font-size",animation,Animation Speed,speed,,,0.5,2,0.1,1,×
Gallery-and-Carousel,HorizontalAndVerticalScroll.html,Horizontal & Vertical Scroll,Cards slide up then scroll horizontally then slide out,viewProgress,scroll-storytelling,"translateX (0vw→end responsive), translateY per card (100vh→0vh), rangeStart/End per card, easing (linear)","scroll-section height, card height/width (responsive), card border-radius/gap, font-size",layout,Card Width,hvsReload,cardW,,20,50,0.5,33.3,vw
