Directory,File,Description,Trigger(s),Animation Sliders (Interact Config),Layout / Composition Sliders
Gallery-and-Carousel,Interactive_ Rotating_Gallery_Grid.html,Hover-driven 3D rotation with clipPath reveal + GSAP scroll,hover,"clipPath ellipse (0→35%×45%), rotate (0→45deg / 0→-45deg), scale (1→1.5), text opacity (0→1), text translateY (10px→0), transition duration (600ms / 500ms), easing (cubic-bezier / ease-out)","gallery-item height/width/margin/border-radius, image-clipper initial clip-path, text initial opacity/transform, gallery-grid padding, SCROLL_AMOUNT (GSAP), hotZoneWidth"
Gallery-and-Carousel,LiquidyGallery.html,Physics-based drag/mouse-track with hover blur,hover; custom JS (rAF),"hover blur (0→8px), hover scale (1→0.95), hover text opacity (1→0.4), hover duration (600ms/500ms), hover easing (ease-out/cubic-bezier), MAX_SPEED, VELOCITY_LERP, DRAG_LERP, PARALLAX_FACTOR","--item-size (CSS var), gallery-viewport width/height, gallery-item width, parallax-layer scale, text-wrapper padding-top, gallery-text font-size, GRID_COLS/GRID_ROWS, MOBILE_BREAKPOINT"
Gallery-and-Carousel,LoopedTabsWithPerspective.html,Endless marquee with card hover straighten and pause (duplicate),pageVisible; hover,"marquee translateX (0→-270rem), duration (60s), easing (linear), iterations (Infinity), card rotateY (25deg→0deg), card scale (1→1.05), card z-index (1→10), card hover duration (300ms), card hover easing (cubic-bezier), animationPlayState→paused","carousel gap (2rem)/total width (540rem), card width (16rem)/padding/border-radius/box-shadow, img dimensions/border-radius, h3/p font-size, perspective (1000px), totalCards (30)"
Gallery-and-Carousel,MantaRay.html,Breathing gallery with viewEnter loop and hover scale (renamed ImageBreathingGallery),viewEnter; hover,"breathe translateY (-62px→262px), breathe duration (2s), breathe easing (ease-in-out), breathe iterations (∞), breathe alternate, stagger delay (index×150ms), scale-up scale (1→2.5), scale-up duration (300ms), scale-up easing (ease-out), composite: add","gallery-wrapper perspective (1000px), item width (12vw), z-index (base 1 / hover 9999), img border-radius/box-shadow, tooltip transition, imageData.length (26)"
Gallery-and-Carousel,MaskedImageScrollReveal.html,Scroll-driven text + image mask reveal,viewProgress,"maxWidth (0px→revealWidth responsive), marginRight (0px→0.4em), opacity (0→1), rangeStart/End % per mask (staggered e.g. 15%–25%)","track height (scroll duration), sticky-content padding, text-block font-size/line-height/letter-spacing, image-mask height/top, img min-width/object-position, isMobile breakpoint"
Gallery-and-Carousel,Mirror_Hover_Galery.html,Grid gallery with hover zoom + overlay darken + text reveal + global bg swap,hover,"card-inner scale (1→1.05), overlay background (rgba 0.2→0.45), text opacity (0→1), text translateY (10px→0), z-index (1→10), duration (300ms), easing (ease-out)","grid-template-columns (responsive 8/4/2 cols), grid-auto-rows (180px), gap (40px), card border-radius (5px), card-content font-size (h3: 1rem / p: 0.85rem), text-shadow, ROWS×COLS (4×8)"
Gallery-and-Carousel,Mouse track infinite gallery.html,Infinite horizontal gallery tracking mouse position,pointerMove; customEffect,"gallery-scroll translateX (mouse-driven), MAX_VELOCITY, DAMPING, ACCELERATION_FACTOR","gallery-container height/width, gallery-track total width, gallery-item width/height/margin-right/border-radius, image-title/description font-size"
Gallery-and-Carousel,Panel3DScroll.html,Scroll-driven 3D gallery with panel rotation and spread,viewProgress,"wrapper rotateY (-180deg→0deg), wrapper rangeStart/End (0%→50%), panel translateX (dynamic per panel), panel translateZ/scale (dynamic), panel rangeStart/End (0%→100%), easing (ease-out / linear)","intro-section height, text-block top/left/width/min-width/font-size (h1/p), panel-wrapper left/perspective, panel border-radius/box-shadow, totalPanels, isMobile breakpoint"
Gallery-and-Carousel,RadialImageReveal.html,Scroll-driven circular clipPath reveal for stacked images,viewProgress,"clipPath circle (0%→80% at center), rangeStart/End (0%→100%) per container, easing (linear)","animation-section height, trigger-area top/height, content-panel height/z-index/background-image, text-center padding, h1 font-size/letter-spacing, p font-size"
Gallery-and-Carousel,ShapeScroll.html,Scroll-driven clipPath morphing (circle→ellipse→polygon),viewProgress,"clipPath morph between shapes (circle/ellipse/polygon), text opacity (0→1 / 1→0), rangeStart/End % per phase, easing (ease-in-out)","scroll-section height, sticky-container background-image/size/position, text-overlay font-size/text-align/max-width"
Gallery-and-Carousel,SmallCarousel.html,3D carousel with click/swipe navigation and modal expansion,click; hover; custom JS (swipe),"image-scale scale (1→1.05), content-fade opacity (0→1), fly-out scale (1→1.2), backdrop opacity (0→1), fly-in scale (1.2→1), backdrop-out opacity (1→0), FLY_OUT_DURATION, duration/easing per effect","carousel-container perspective, carousel width/height, card width/height/border-radius/box-shadow/border, card-content padding/font-size, hoverZone width, stepDuration, swipeThreshold, cardData.length"
Gallery-and-Carousel,SnakeAnimation.html,Snake of images converging on click + fade cycling,programmatic toggleEffect,"text-fade opacity, image-cycle-out/in opacity + scale, image-dismiss opacity + scale, backdrop opacity + pointerEvents, duration/easing per effect, stagger delay (snake build)","snake-image width/height/left/top (dynamic), border-radius/box-shadow, main-image-container width/height, text-container width/max-width/padding, main-title/subtitle font-size/text-shadow, imageData.length"
Gallery-and-Carousel,StickyRepeaterStack.html,Sticky scroll card stack with 3D mouse-tilt,viewProgress; pointerMove; customEffect,"card-tilt rotateX (mouse-Y driven), card-tilt translateY (mouse-Y driven), card-stack-scale scale (1→0.8 on scroll), rangeStart/End (exit 0%→100%), easing (linear)","intro/outro-section height (100vh), scroll-section height (400vh), repeater-wrapper gap (20vh)/perspective (1000px)/padding-top, card width (100vw)/max-width (800px)/height (50vh)/top (25vh)/border-radius/box-shadow, --card-bg-X gradients"
Gallery-and-Carousel,TitleFoldsScrollAnimation.html,Scroll-driven fold-in cards with scaling headings and line reveals,viewProgress,"card-scale scale (0.75→1), heading-scale scale (2.0→1), line-reveal scaleX (0→1), top-stack-reveal scale (0.3→1), content-slide-up translateY (400px→0), rangeStart/End (entry), easing (linear), fill (both)","scroll-section height (6300px), cards-repeater gap (500px)/padding-top (100vh), card height (95vh)/border-radius, horizontal-line height (6px), heading-text font-size (80px), top-right-stack gap/font-size, content-container top/border-radius, bottom-text-stack font-size"
Gallery-and-Carousel,VerticalLanes.html,Multi-column vertical parallax infinite loop with lightbox,viewEnter,"translateY (-50%→0 or 0→-50%) per column, duration per column (40s–55s), iterations (Infinity), easing (linear)","gallery-container flex-direction, gallery-column flex/overflow, wrapper width/height, image-container width/padding, image border-radius, image-title font-size, lightbox max-width/max-height, responsive display:none for columns"
Gallery-and-Carousel,WheelCarousel.html,Continuous top-arc wheel carousel with hover scale,pageVisible; hover; customEffect (rAF),"spin-deg-per-sec (rotation speed), image-scale scale (1→1.1), image-scale duration (300ms), image-scale easing (ease-out), spinDirection (1 or -1)","--wheel-radius / --card-size / --card-radius (CSS vars), --center-zone-size, arc-viewport height/padding-top, wheel translateY, card background/box-shadow/opacity, copy margin-top/max-width, headline font-size/letter-spacing, sub font-size, cta padding/border-radius, imgs.length"
Gallery-and-Carousel,WindowScroll.html,Scroll-driven 3D panel rotation with staggered reveals,viewProgress,"panel3DKeyframes: opacity (0→1→1→0), rotateX (90deg→0→0→-90deg), translateZ (-500px→0→0→-500px), offset timing (0/0.15/0.85/1), rangeStart/End % per panel (contain 0–33%/33–66%/66–100%), easing (linear), fill (both)","scroll-wrapper height (600vh), spacer height (100vh), sticky-container perspective (1000px), panel border-radius/border/box-shadow/font-size/padding, panel-colors (#3b82f6/#10b981/#ef4444)"
text_Image,circle_Grid_Mask,React: Circular grid mask reveal with staggered clipPath,pageVisible,"clipPath circle (0%→75% at 50% 50%), duration (1000ms), easing (ease-out), staggerDelay per cell (row×col based)","GRID_ROWS/GRID_COLS, grid-container gap, grid-cell background-color/border-radius, image-overlay background-image/size/position, text-overlay font-size/line-height/text-align, IMAGE_URL"
text_Image,extrude_Swivel,React: Extruded 3D text with pointer-driven swivel,pointerMove; hover,"swivel rotateX (mouse-Y driven), swivel rotateY (mouse-X driven), duration (300ms), easing (ease-out), text-shadow layers (depths + color gradient)","text-container font-size/line-height/letter-spacing/text-align, shadow depths (layer count), startColor/midColor/endColor (shadow gradient)"
text_Image,stripped_Image,Scroll-driven horizontal slices with wave reveal,viewProgress,"clipPath inset per slice (wave animation), translateY per slice (vertical movement), rangeStart/End % (staggered per slice), easing (ease-in-out)","scroll-track height, sticky-image-container width/height/background-image, image-slice height (1/slice-count), --strip-color, img-url, img-ratio, slice-count"
Typographic_interactions,$lot_Machine.html,Slot machine text spin-in on page load,pageVisible,"word translateY (100%→0), word rotateX (90deg→0), word opacity (0→1), word blur (8px→0), word duration, word easing, word stagger delay, line translateY (110%→0), line opacity (0→1), line duration, line easing, line stagger delay","h1-container font-size/line-height/gap-x/gap-y, p-container font-size/space-y, clip-mask height, word-visual height, font-display (Syne)"
Typographic_interactions,Aura Stack.html,Layered text stack with 3D scroll animation,viewProgress,"translateZ per layer (depth stagger), translateY per layer, rotateX per layer, opacity per layer, filter blur per layer, offset timing in keyframes, rangeStart/End % (staggered per layer), easing (ease-out)","scroll-track height (400vh), sticky-container perspective, text-layer font-size/line-height/letter-spacing/text-align, numLayers, text-content"
Typographic_interactions,Blurry_Transition.html,Blurry text + background transition on click,pageVisible; click,"text opacity (0→1 / 1→0), text blur (10px→0 / 0→10px), text translateY (20px→0 / 0→-20px), bg opacity (0→1 / 1→0), bg scale (1.1→1 / 1→1.1), duration, easing, transitionDelay between pairs","text-container font-size/line-height/text-align, bg-image background-image/size/position, textData.length (number of pairs)"
Typographic_interactions,book animation.html,3D book page-turn animation on scroll,viewProgress,"rotateY per page (start/mid/end angles), translateZ per page (depth), clipPath polygon per page (page shape), opacity per page, offset timing, rangeStart/End % (staggered per page), easing (ease-out)","scroll-track height (600vh), book-container width/height/perspective, page background-color/border-radius/box-shadow/padding, page font-size (h2/p), numPages"
Typographic_interactions,Circular_Scroll_Nav.html,Circular radial menu open/close on click,click,"menu-btn rotate (0→45deg), menu-item translateX/translateY (0→radial position), menu-item opacity (0→1), stagger delay, content blur (0→5px), duration, easing","menu-wrapper width/height, menu-btn width/height, menu-item width/height/border-radius/background-color/font-size, main-content padding, menu-item-radius (distance from center), numMenuItems"
Typographic_interactions,Editorial Text Reveal.html,Scroll-driven line-by-line text slide-up reveal,viewProgress,"line translateY (100%→0), line opacity (0→1), rangeStart/End % (staggered per line), easing (ease-out)","scroll-track height (300vh), sticky-content padding, text-content font-size/line-height/max-width, numLines"
Typographic_interactions,Gooey_text.html,Gooey liquid text effect with moving circle,viewEnter,"circle left (-20%→120% pass-through), circle duration (4000ms), circle easing (ease-in-out), circle iterations (Infinity), FadeIn namedEffect (1000ms), conditions (prefers-reduced-motion)","gooey-filter contrast (50), gooey-text blur (8px)/font-variation-settings (wght 900)/letter-spacing/color, moving-circle width (175px)/height/border-radius/background-color/blur (30px)/box-shadow (chromatic aberration)"
Typographic_interactions,Headline_Images_Overlay.html,Scroll-driven masked image headline reveal,viewProgress,"clipPath inset per mask (reveal direction), offset timing in keyframes, rangeStart/End % (staggered per mask), easing (ease-out)","header-section height (300vh), content-layout padding/font-size (h1/p)/mix-blend-mode, mask-layer background-image/size/position/mix-blend-mode, numMasks"
Typographic_interactions,IconText Pro gallery.html,Immersive scroll gallery with text slide-up and image scale,viewProgress,"text translateY (initial→0), text opacity (0→1), image scale (initial→1), image opacity (0→1), rangeStart/End % (staggered per element), easing (ease-out)","scroll-track height (600vh), feature-container gap/padding, feature-column height/border-radius/box-shadow, feature-text font-size/line-height, feature-image width/height/object-fit, numItems"
Typographic_interactions,Marquee_Scroll_Velocity.html,Velocity-responsive dual-row marquee,pageVisible; custom JS (rAF physics),"translateX (0%→-50% or -50%→0%), duration (40s), iterations (1e6), easing (linear), scroll-velocity physics: sensitivity (0.4), lerpFactor (0.1), clamp (±15), baseSpeed (±1)","body min-height (400vh), spacer height (150vh), marquee-wrapper padding/gap, marquee-item font-size (8vw)/font-weight/line-height/letter-spacing, row-1 text-stroke, row-2 color"
Typographic_interactions,Mirror_Mouse_Track.html,3D mouse-tracking with mirrored cards (responsive),pointerMove (desktop); viewProgress (mobile),"Desktop: Tilt3DMouse namedEffect (power: medium), composite: add. Mobile: rotateY (±85deg→0), rotateX (±20deg→0), perspective (1000px), rangeStart/End (cover 0%→100%), composite: add","conditions (mobile ≤767px / desktop ≥768px), perspective-scene max-width, track-card padding, h1 font-size, p font-size/max-width, mobile-track min-height (400vh)"
Typographic_interactions,Paragraph_mask_scroll.html,Scroll-driven paragraph mask reveal with clipPath,viewProgress,"clipPath inset per line (100% 0 0 0→0 0 0 0), rangeStart/End % (staggered per line), easing (ease-out)","scroll-track height (300vh), sticky-content padding, text-content font-size/line-height/max-width, numLines"
Typographic_interactions,Ripple_Hover.html,Ripple text echo animation on hover (desktop) or viewEnter (mobile),hover (desktop); viewEnter (mobile),"reveal-up translateY (105%→-0.02em), reveal-down translateY (-105%→-0.02em), duration (900ms), easing (cubic-bezier 0.05 1 0.15 1), stagger delay per layer (54ms increment), SlideIn namedEffect for subtitle","ripple-container font-size (clamp 3rem–8rem), mask heights (tiny/small/med/large/full), h1-copy line-height (0.75), content-block max-width (600px), isMobile breakpoint (768px)"
Typographic_interactions,RiseOfTheDead.html,Scroll-driven 3D letter rise from below with random stagger,viewProgress,"rotateX (90deg→0), translateY (10px→0), translateZ (-50px→0), opacity (0→1), random startDelayVH (0–250vh), durationVH (50vh), rangeStart/End (entry + vh offset)","scroll-track height (450vh), char-perspective perspective (600px), letter-visual will-change, h1 font-size (6xl/9xl), text content (""RISING DEAD"")"
Typographic_interactions,Scroll_Mask_Reveal.html,Scroll-driven text mask reveal (duplicate of Paragraph_mask_scroll),viewProgress,"clipPath inset per line, rangeStart/End % (staggered per line), easing (ease-out)","scroll-track height (300vh), sticky-content padding, text-content font-size/line-height/max-width, numLines"
Typographic_interactions,Scroll_Paragraph_Fade.html,Scroll-driven word-by-word fade reveal,viewProgress,"word opacity (0→1), word translateY (20px→0), rangeStart/End % (staggered per word), easing (ease-out)","scroll-track height, sticky-content padding, text-content font-size/line-height/max-width"
Typographic_interactions,Scroll_Paragraph_Reveal.html,Scroll-driven word-by-word slide-up reveal,viewProgress,"word opacity (0→1), word translateY (20px→0), rangeStart/End % (staggered per word), easing (ease-out)","scroll-track height, sticky-content padding, text-content font-size/line-height/max-width"
Typographic_interactions,Scroll_Skew.html,Scroll-driven multi-layer text skew with parallax offset,viewProgress,"skewX per layer (±45deg to ±75deg increasing), translateX per layer (±8px to ±80px increasing), rangeStart/End (cover 0%→100%), fill (both), composite: add","header-stack z-index order, h1 font-size (12xl/responsive)/font-weight/letter-spacing/line-height, ghost color (zinc-100→zinc-900 gradient), numLayers (10 ghosts + 1 main)"
Typographic_interactions,Strobe_Headline.html,Staggered character strobe/flicker on viewEnter,viewEnter,"opacity keyframes (flickering 1→0→1→0→1→0→0), duration (1200ms), delay per char (rowDist×100 + charIndex×40), easing (linear), fill (forwards), paragraph translateY (110%→0)/opacity (0→1), paragraph delay (calculated)","visualizer-container line-height (0.85), char font-size (5.5vw)/font-weight (900)/letter-spacing, space width (2vw), mix-blend-mode (screen), desc-container margin-top, ROWS (7), TEXT content"
Typographic_interactions,Tech_ Glitch.html,Glitch text reveal with clipPath + skew + chromatic aberration,viewEnter,"clipPath inset (100%→0 directional), skewX (±20deg oscillating→0), translateX (±5px oscillating→0), textShadow (red/cyan chromatic→none), duration (600–1000ms random), delay (200–1000ms random), easing (steps 4–10 random), fill (both)","text-splitter font-size (2xl/base), text color, text uppercase/tracking-tighter, glitch-word display (inline-block), word marginRight (0.3em), prefersReducedMotion fallback"
Typographic_interactions,textFoldTransition.html,Sticky text fold transition swapping paragraphs on scroll,pageVisible; viewProgress,"enter: translateY (150%→0)/opacity (0→1), exit: translateY (0%→-150%)/opacity (1→0), load: translateY (110%→0)/opacity (0→1), SCROLL_EASING (cubic-bezier 0.8 0 0.8 0.2), LOAD_EASING (cubic-bezier 0.25 1 0.5 1), T1_START/END (26–48%), T2_START/END (51–72%), stagger (+1% per line), composite: add","text-mask line-height/padding-bottom, line-content font-size (xl/3xl)/font-weight, snap-point heights, visual-layer ready class, isAtTop detection"
Typographic_interactions,Tunnel_Vision.html,Layered text parallax with pointer-driven depth scaling,pointerMove; viewEnter,"createDepthLayer: scale per layer (1.15→1.75), range per layer (20→100px), translate3d (mouse-driven x/y), -webkit-text-stroke-width (adjusted per scale), CSS transition per layer (0.5s→1.1s), SlideIn namedEffect for subtitle","ripple-container perspective (1000px), h1-box font-size (7.5rem)/line-height (0.85), -webkit-text-stroke (4px), layer color-mix (bg 20%→80% gradient), numLayers (5 + main), content-block bottom/width"
Typographic_interactions,Vshape_Headline.html,V-shape bounce-in letters flattening on scroll,viewEnter; viewProgress,"bounce-in: translateY (50vh→curveOffset), opacity (0→1), duration (1s), stagger delay (distFromCenter×60ms), easing (cubic-bezier 0.18 1.25 0.4 1). flatten: translateY (0→fixOffset), rangeStart/End (contain 10%→90%), composite: add","scroll-track height (300vh), h1 font-family (Spicy Rice)/font-size (6xl/9xl)/uppercase, letter-span opacity (initial 0), curveOffset formula (dist²×-12), gap-2, perspective-1000"
